Timestamp,Campaign,Split,FT-1004.PV_kgh,TT-1006.PV_C,FRC-1004.PV,PT-1004.PV_kPa,PT-1100.PV_kPa,AT-1100.PV_kgm3,TT-1100.PV_C,FT-1002.PV_kgh,FT-1001.PV_kgh,FT-1300.PV_kgh,FT-1201.PV_kgh,FC-1002_saturated,n_benzene_kmolh_r0,n_propene_kmolh,n_propane_kmolh,n_benzene_kmolh_r1,n_cumene_in_kmolh_r1,X_propene_r0,X_propene_r1,X_benzene_r0,X_benzene_r1,FT-1002_check_kgh,FT-1002_diff_pct,Cumene_predicted_kgh,Cumene_in_product_kgh,Cumene_balance_diff_pct,dT_adiabatic_C
2025-10-12 15:10:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:11:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:12:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:13:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:14:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:15:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:16:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:17:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:18:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:19:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:20:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:21:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:22:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:23:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
2025-10-12 15:24:00+00:00,10/12,정상운전검사,3000.0,341.57,5.0,2575.8,2521.58,37.378,440.571,15000.0,5328.461,9671.539,5114.984,0,192.02457914613072,67.56468429512255,3.556036015532764,190.1296916148771,1.2314814095633573,0.6158854538416692,0.606376017512894,0.21670197865192992,0.21548241013497038,15000.0,0.0,5001.608722917628,5081.625090265856,-1.5746216205816412,99.00100000000003
